study,Author,Year.publication,Journal,Title,Author.Affiliation,Country,Continent,Developed,Development,Latitude,Publisher,Study.type,In.seufert,In.Badgley,obs,Crop.species,Crop.type,Duration.of.study,Research.project,Study.site,Y_coord,X_coord,year_conv,year_org,Study.Comment,DataThief.used,Perennial,Legume,Comparability.of.system,Drought,Time.since.conversion,Conv.system.type,Org.system.type,Conv.yield.comparability,BMP,Multi.crop,Rotations,non.food.rotation,Org.fertilizer.type,Green.manure.org,Animal.manure.org,N.input,N.inputs.include.all.inputs,Org.N.input.kg.N.ha.1,Conv.N.input.kg.N.ha.1,Org.P.input.kg.P.ha.1,Conv.P.input.kg.P.ha.1,Irrigation,Tillage,GDD,Moisture,Soil.carbon,Soil.pH,Soil.pH.source,Yield.unit,Data.location.1,mean.conv,sd.conv,n.conv,mean.org,sd.org,n.organic,lnR,varlnR,conv_treatment,notes,organic_treatment,between_yr_var,mult_yrs,duplicate_trt_dat,in_original,P.input
study10,Clark et al.,1999,"American Journal of Alternative Agriculture 14(3), 109-121","Crop-yield and economic comparisons of organic, low-input, and conventional farming systems in California's Sacramento valley","Sustainable Agriculture Farming Systems Project, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,157,maize,cereals,medium,SAFS UC Davis; 1989-1996,Russell Ranch; near Davis; California,38.53,-121.78,1994,1994,org & conv,yes,annual,non-legume,comparable,no,NA,low input,certified,comparable,yes,both multi-crop,similar,both,mix,yes,yes,similar,yes,87.5,100,NA,NA,yes,NA,high,high,high,neutral,dataset,kg/ha,Fig. 3,13752.51,962.47,3,9206.37,1878.87,3,-0.401325717,0.01551602,conv,data provided by author; but missing 1989-1993 used in Seufert,org,1,1,no,NA,NA
study100,Polat et al.,2010,Sci. Agric.,Yield and quality criteria in organically and conventionally grown tomatoes in Turkey ,"Akdeniz University, Dept. of Horticulture,  Antalya, Turkey ",Turkey,Asia,no,high,temperate,journal,experimental,no,no,1014,tomato,fruit,very short,Polat 2000 to 2001,"Antalya, Turkey",36.883,30.65,2000 to 2001,2000 to 2001,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,no,no,animal,no,yes,more conv,NA,NA,NA,NA,NA,yes,NA,high,NA,NA,neutral,paper,kg/ha,Tab. 3,82785,12183.44984,2,81665,8916.616511,2,-0.013621372,0.016790185,conv,two years of data but no spatial SD,COP,0,1,yes,n,NA
study100,Polat et al.,2010,Sci. Agric.,Yield and quality criteria in organically and conventionally grown tomatoes in Turkey ,"Akdeniz University, Dept. of Horticulture,  Antalya, Turkey ",Turkey,Asia,no,high,temperate,journal,experimental,no,no,1015,tomato,fruit,very short,Polat 2000 to 2001,"Antalya, Turkey",36.883,30.65,2000 to 2001,2000 to 2001,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,no,no,animal,no,yes,more conv,NA,NA,NA,NA,NA,yes,NA,high,NA,NA,neutral,paper,kg/ha,Tab. 3,82785,12183.44984,2,76905,4744.686502,2,-0.073675992,0.012732634,conv,two years of data but no spatial SD,MAX,0,1,yes,n,NA
study100,Polat et al.,2010,Sci. Agric.,Yield and quality criteria in organically and conventionally grown tomatoes in Turkey ,"Akdeniz University, Dept. of Horticulture,  Antalya, Turkey ",Turkey,Asia,no,high,temperate,journal,experimental,no,no,1016,tomato,fruit,very short,Polat 2000 to 2001,"Antalya, Turkey",36.883,30.65,2000 to 2001,2000 to 2001,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,no,no,animal,no,yes,more conv,NA,NA,NA,NA,NA,yes,NA,high,NA,NA,neutral,paper,kg/ha,Tab. 3,82785,12183.44984,2,84525,10571.24638,2,0.020800463,0.018650287,conv,two years of data but no spatial SD,KO-HU,0,1,yes,n,NA
study100,Polat et al.,2010,Sci. Agric.,Yield and quality criteria in organically and conventionally grown tomatoes in Turkey ,"Akdeniz University, Dept. of Horticulture,  Antalya, Turkey ",Turkey,Asia,no,high,temperate,journal,experimental,no,no,1017,tomato,fruit,very short,Polat 2000 to 2001,"Antalya, Turkey",36.883,30.65,2000 to 2001,2000 to 2001,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,no,no,animal,no,yes,more conv,NA,NA,NA,NA,NA,yes,NA,high,NA,NA,neutral,paper,kg/ha,Tab. 3,82785,12183.44984,2,80690,3889.087297,2,-0.025632234,0.011990989,conv,two years of data but no spatial SD,KEL,0,1,yes,n,NA
study100,Polat et al.,2010,Sci. Agric.,Yield and quality criteria in organically and conventionally grown tomatoes in Turkey ,"Akdeniz University, Dept. of Horticulture,  Antalya, Turkey ",Turkey,Asia,no,high,temperate,journal,experimental,no,no,1018,tomato,fruit,very short,Polat 2000 to 2001,"Antalya, Turkey",36.883,30.65,2000 to 2001,2000 to 2001,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,no,no,animal,no,yes,more conv,NA,NA,NA,NA,NA,yes,NA,high,NA,NA,neutral,paper,kg/ha,Tab. 3,82785,12183.44984,2,77330,8471.139239,2,-0.068164907,0.016829559,conv,two years of data but no spatial SD,ORM,0,1,yes,n,NA
study101,Rader et al.,1985,Biological Agriculture and Horticulture,Organic and Conventional Peach Production and Economics,"Department of Agronomy and Horticulture, Brigham Young University, Provo, Utah, ",United States,North America,yes,very high,temperate,journal,experimental,no,no,1019,peach,fruit,very short,Rader 1981 and 1982,"Burbank July Elberta' peach orchard in Mapleton, Utah",NA,NA,1981 to 1982,1981 to 1982,NA,no,perennial,non-legume,comparable,no,young,commercial,org stand,NA,no,both mono,no,no,plant,no,no,more conv,yes,NA,572,NA,NA,yes,NA,high,NA,NA,NA,NA,kg/tree,Tab. 1,32.4,12.58650071,2,17.45,7.283199846,2,-0.618818774,0.162556433,conv,two years of data but no spatial SD,seaweed,0,1,yes,n,NA
study101,Rader et al.,1985,Biological Agriculture and Horticulture,Organic and Conventional Peach Production and Economics,"Department of Agronomy and Horticulture, Brigham Young University, Provo, Utah, ",United States,North America,yes,very high,temperate,journal,experimental,no,no,1020,peach,fruit,very short,Rader 1981 and 1982,"Burbank July Elberta' peach orchard in Mapleton, Utah",NA,NA,1981 to 1982,1981 to 1982,NA,no,perennial,non-legume,comparable,no,young,commercial,org stand,NA,no,both mono,no,no,animal,no,yes,similar,yes,NA,572,NA,NA,yes,NA,high,NA,NA,NA,NA,kg/tree,Tab. 1,32.4,12.58650071,2,29.15,11.9501046,2,-0.10570351,0.159485717,conv,two years of data but no spatial SD,manure,0,1,yes,n,NA
study102,Klepper et al.,1977,American Journal of Agricultural Economics ,Economic Performance and Energy Intensiveness on Organic and Conventional Farms in the Corn Belt: A Preliminary Comparison,"Center for the Biology of Natural Systems, Washington University",United States,North America,yes,very high,temperate,journal,on-farm trial,no,no,1023,wheat,cereals,very short,corn belt survey 1974 to 1975,"corn belt, USA",NA,NA,1974 to 1975,1974 to 1975,NA,no,annual,non-legume,not truly comparable,no,young,commercial,org stand,comparable,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,bushel/a,Tab. 3,33.5,6.363961031,2,28,0,2,-0.179340929,0.018044108,conv,"two years of data, 4 farm pairs but no spatial SD",org,0,,no,y,NA
study102,Klepper et al.,1977,American Journal of Agricultural Economics ,Economic Performance and Energy Intensiveness on Organic and Conventional Farms in the Corn Belt: A Preliminary Comparison,"Center for the Biology of Natural Systems, Washington University",United States,North America,yes,very high,temperate,journal,on-farm trial,no,no,1024,oat,cereals,very short,corn belt survey 1974 to 1975,"corn belt, USA",NA,NA,1974 to 1975,1974 to 1975,NA,no,annual,non-legume,not truly comparable,no,young,commercial,org stand,comparable,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,bushel/a,Tab. 3,60,0,2,57,1.414213562,2,-0.051293294,0.000307787,conv,"two years of data, 5 farm paris but no spatial SD",org,0,,no,y,NA
study102,Klepper et al.,1977,American Journal of Agricultural Economics ,Economic Performance and Energy Intensiveness on Organic and Conventional Farms in the Corn Belt: A Preliminary Comparison,"Center for the Biology of Natural Systems, Washington University",United States,North America,yes,very high,temperate,journal,on-farm trial,no,no,1022,soybean,oil crops,very short,corn belt survey 1974 to 1975,"corn belt, USA",NA,NA,1974 to 1975,1974 to 1975,NA,no,annual,non-legume,not truly comparable,no,young,commercial,org stand,comparable,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,bushel/a,Tab. 3,33.5,6.363961031,2,33.5,2.121320344,2,0,0.020049009,conv,"two years of data, 11 farm pairs, but no spatial SD",org,0,,no,y,NA
study102,Klepper et al.,1977,American Journal of Agricultural Economics ,Economic Performance and Energy Intensiveness on Organic and Conventional Farms in the Corn Belt: A Preliminary Comparison,"Center for the Biology of Natural Systems, Washington University",United States,North America,yes,very high,temperate,journal,on-farm trial,no,no,1021,maize,cereals,very short,corn belt survey 1974 to 1975,"corn belt, USA",NA,NA,1974 to 1975,1974 to 1975,NA,no,annual,non-legume,not truly comparable,no,young,commercial,org stand,comparable,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,bushel/a,Tab. 3,85,12.72792206,2,74,0,2,-0.138586163,0.011211073,conv,"two years of data, 11 farm pairs but no spatial SD",org,0,,no,y,NA
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1027,soybean,oil crops,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,animal,no,yes,similar,yes,50,50,75,75,no,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 2,3166.666667,192.5417704,3,2433.333333,451.9749256,3,-0.26341745,0.01273249,T3,three years of data but no spatial SD,T5- cow dung + other,0,1,yes,no,similar
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1026,soybean,oil crops,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,animal,no,no,similar,yes,50,50,75,75,no,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 2,3166.666667,192.5417704,3,2306.666667,171.2668483,3,-0.316876029,0.003069941,T2,three years of data but no spatial SD,T4 - vermicompost,0,1,yes,no,similar
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1031,wheat,cereals,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,animal,no,yes,similar,yes,50,50,75,75,yes,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 3,5292.333333,487.7400264,3,3423.666667,288.2296538,3,-0.435547131,0.005193646,T7,three years of data but no spatial SD,T5- cow dung + other,0,2,yes,no,similar
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1028,soybean,oil crops,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,animal,no,yes,similar,yes,50,50,75,75,no,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 2,3166.666667,192.5417704,3,2172.333333,363.6238899,3,-0.376877651,0.010571972,T4,three years of data but no spatial SD,T6 - cow urine,0,1,yes,no,similar
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1025,soybean,oil crops,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,fertilizer,no,no,similar,yes,50,50,75,75,no,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 2,3166.666667,192.5417704,3,2958,133.5252785,3,-0.068166146,0.00191154,T1,three years of data but no spatial SD,T2 - FYM,0,1,yes,no,similar
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1030,wheat,cereals,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,animal,no,no,similar,yes,50,50,75,75,yes,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 3,5292.333333,487.7400264,3,3728.333333,466.8065267,3,-0.350297926,0.008056582,T6,three years of data but no spatial SD,T4 - vermicompost,0,2,yes,no,similar
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1029,wheat,cereals,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,fertilizer,no,no,similar,yes,50,50,75,75,yes,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 3,5292.333333,487.7400264,3,4745.666667,660.450099,3,-0.109027311,0.00928715,T5,three years of data but no spatial SD,T2 - FYM,0,2,yes,no,similar
study103,Gosavi et al.,2009,Agric. Sci. Digest,Organic farming in soybean-wheat cropping sequence,"Agricultural Research Station, Niphad, Nashik, India ",India,Asia,no,medium,subtropical,journal,experimental,no,no,1032,wheat,cereals,short,Gosavi 2005 to 2008,"Agricultural Research Station, Niphad, Dist. Nashik ",NA,NA,2005 to 2008,2005 to 2008,NA,no,annual,non-legume,comparable,no,NA,commercial,org stand,NA,no,both mono,similar,no,animal,no,yes,similar,yes,50,50,75,75,yes,NA,high,NA,NA,alkaline,paper,kg/ha,Tab. 3,5292.333333,487.7400264,3,3133.666667,196.4111334,3,-0.524055454,0.004140638,T8,three years of data but no spatial SD,T6 - cow urine,0,2,yes,no,similar
study104,Mahoney et al.,2003,Renewable Agriculture and Food Systems,Profitiability of organic cropping systems in southwestern Minnesota,Univ. of Minnesota,United States,North America,yes,very high,temperate,journal,experimental,no,no,1037,soybean,oil crops,long,VICMS II,University of Minnesota's Southwest Research and Outreach Center,NA,NA,1991 to 1999,1991 to 1999,low input and commercial to one organic,no,annual,non-legume,comparable,no,established,low input,certified,comparable,yes,both multi-crop,similar,yes,animal,NA,yes,NA,no,NA,NA,NA,NA,NA,standard,NA,NA,NA,NA,NA,Mg/ha,Tab. 6,2.42,0.58,9,2.02,0.93,9,-0.180670029,0.029933994,low input,NA,certified,0,3,yes,no,NA
study104,Mahoney et al.,2003,Renewable Agriculture and Food Systems,Profitiability of organic cropping systems in southwestern Minnesota,Univ. of Minnesota,United States,North America,yes,very high,temperate,journal,experimental,no,no,1038,soybean,oil crops,long,VICMS II,University of Minnesota's Southwest Research and Outreach Center,NA,NA,1991 to 1999,1991 to 1999,low input and commercial to one organic,no,annual,non-legume,comparable,no,established,low input,certified,comparable,yes,both multi-crop,similar,yes,animal,NA,yes,NA,no,NA,NA,NA,NA,NA,standard,NA,NA,NA,NA,NA,Mg/ha,Tab. 6,2.89,0.45,9,2.02,0.93,9,-0.358158991,0.026245546,commercial,NA,certified,0,3,yes,no,NA
study104,Mahoney et al.,2003,Renewable Agriculture and Food Systems,Profitiability of organic cropping systems in southwestern Minnesota,Univ. of Minnesota,United States,North America,yes,very high,temperate,journal,experimental,no,no,1034,maize,cereals,long,VICMS II,University of Minnesota's Southwest Research and Outreach Center,NA,NA,1991 to 1999,1991 to 1999,2 year rotation,no,annual,non-legume,comparable,no,established,commercial,certified,comparable,yes,both multi-crop,similar,yes,animal,NA,yes,NA,no,NA,NA,NA,NA,NA,standard,NA,NA,NA,NA,NA,Mg/ha,Tab. 6,8.9,1.88,9,5.64,1.38,9,-0.456167211,0.011609928,commercial,NA,certified,0,1,yes,no,NA
study104,Mahoney et al.,2003,Renewable Agriculture and Food Systems,Profitiability of organic cropping systems in southwestern Minnesota,Univ. of Minnesota,United States,North America,yes,very high,temperate,journal,experimental,no,no,1035,maize,cereals,long,VICMS II,University of Minnesota's Southwest Research and Outreach Center,NA,NA,1991 to 1999,1991 to 1999,4 year rotation,no,annual,non-legume,comparable,no,established,low input,certified,comparable,yes,both multi-crop,similar,yes,animal,NA,yes,NA,no,NA,NA,NA,NA,NA,standard,NA,NA,NA,NA,NA,Mg/ha,Tab. 6,8.72,1.92,9,7.9,1.79,9,-0.098756478,0.011091144,low input,NA,certified,0,2,yes,no,NA
study104,Mahoney et al.,2003,Renewable Agriculture and Food Systems,Profitiability of organic cropping systems in southwestern Minnesota,Univ. of Minnesota,United States,North America,yes,very high,temperate,journal,experimental,no,no,1036,maize,cereals,long,VICMS II,University of Minnesota's Southwest Research and Outreach Center,NA,NA,1991 to 1999,1991 to 1999,4 year rotation,no,annual,non-legume,comparable,no,established,commercial,certified,comparable,yes,both multi-crop,similar,yes,animal,NA,yes,NA,no,NA,NA,NA,NA,NA,standard,NA,NA,NA,NA,NA,Mg/ha,Tab. 6,8.97,2.21,9,7.9,1.79,9,-0.127022917,0.012449007,commercial,NA,certified,0,2,yes,no,NA
study104,Mahoney et al.,2003,Renewable Agriculture and Food Systems,Profitiability of organic cropping systems in southwestern Minnesota,Univ. of Minnesota,United States,North America,yes,very high,temperate,journal,experimental,no,no,1039,soybean,oil crops,long,VICMS II,University of Minnesota's Southwest Research and Outreach Center,NA,NA,1991 to 1999,1991 to 1999,low input and commercial to one organic,no,annual,non-legume,comparable,no,established,low input,certified,comparable,yes,both multi-crop,similar,yes,animal,NA,yes,NA,no,NA,NA,NA,NA,NA,standard,NA,NA,NA,NA,NA,Mg/ha,Tab. 6,2.75,0.57,9,2.49,0.57,9,-0.099318201,0.01059604,low input,NA,certified,0,4,yes,no,NA
